Aegypten,Ägypten
Aethopien,Äthiopien
Algerien,Algerien
Benin,Benin
Botsuana,Botsuana
Burundi,Burundi
Burkina_Faso,Burkina Faso
Demokratische_Republik_Kongo,Demokratische Republik Kongo
Dschibuti,Dschibuti
Elfenbeinkueste,Elfenbeinküste
Eritrea,Eritrea
Gabun,Gabun
Gambia,Gambia
Ghana,Ghana
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Kamerun,Kamerun
Kenia,Kenia
Libyen,Libyen
Liberia,Liberia
Madagaskar,Madagaskar
Mali,Mali
Malawi,Malawi
Marokko,Marokko
Mauretanien,Mauretanien
Mosambik,Mosambik
Namibia,Namibia
Niger,Niger
Nigeria,Nigeria
Republik_Kongo,Republik Kongo
Ruanda,Ruanda
Sambia,Sambia
Senegal,Senegal
Sierra_Leone,Sierra Leone
Simbabwe,Simbabwe
Somalia,Somalia
Sudan,Sudan
Suedafrika,Südafrika
Swasiland,Swasiland
Tasania,Tasania
Togo,Togo
Tunesien,Tunesien
Tschad,Tschad
Uganda,Uganda
Westsahara,Westsahara
Zentralafrikanische_Republik,Zentralafrikanische Republik
Lesotho,Lesotho
